timestamp    message 
1748887593   ffff8a9363dca8c0 metaslab.c:1691:spa_set_allocator(): spa allocator: dynamic
1748887593   ffff8a96344728c0 vdev.c:184:vdev_dbgmsg(): disk vdev '/dev/sde1': probe done, cant_read=0 cant_write=0
1748887593   ffff8a96344728c0 vdev.c:184:vdev_dbgmsg(): disk vdev '/dev/sdc1': probe done, cant_read=0 cant_write=0
1748887593   ffff8a96344728c0 vdev.c:184:vdev_dbgmsg(): disk vdev '/dev/sdd1': probe done, cant_read=0 cant_write=0
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 create pool version 5000; software version zfs-2.3.2-0-g92f430b00; uts dimitra-zfs 6.11.0-1015-azure #15~24.04.1-Ubuntu SMP Thu May  1 02:52:08 UTC 2025 x86_64
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@async_destroy=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@empty_bpobj=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@lz4_compress=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@multi_vdev_crash_dump=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@spacemap_histogram=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@enabled_txg=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@hole_birth=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@extensible_dataset=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@embedded_data=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@bookmarks=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@filesystem_limits=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@large_blocks=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@large_dnode=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@sha512=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@skein=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@edonr=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@userobj_accounting=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@encryption=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@project_quota=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@device_removal=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@obsolete_counts=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@zpool_checkpoint=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@spacemap_v2=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@allocation_classes=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@resilver_defer=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@bookmark_v2=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@redaction_bookmarks=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@redacted_datasets=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@bookmark_written=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@log_spacemap=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@livelist=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@device_rebuild=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@zstd_compress=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@draid=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@zilsaxattr=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@head_errlog=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@blake3=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@block_cloning=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@vdev_zaps_v2=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@redaction_list_spill=enabled
1748887593   ffff8a9363dca8c0 spa_history.c:307:spa_history_log_sync(): txg 4 set feature@raidz_expansion=enabled
